name,address,experience,skills,sal_from,sal_to
Начинающий специалист по работе с нейросетям,Санкт-Петербург,От 1 года до 3 лет,"Разработка технических заданий, Python, Сбор и анализ информации, Midjorney, Внедрение нейросетей, Нейросеть, ChatGPT, Работа в команде, Обучение и развитие, Stabile Diffusion, Работа с большим объемом информации",55000,60000
Junior Data Engineer,Нижний Новгород,От 1 года до 3 лет,"SQL, jvm, Hadoop",150000,200000
ML-инженер,Москва,Нет опыта,"Знания математики, алгоритмов, структур данных, классического ML, CNN, YOLO, U-Net, ViT, Word2Vec, fasttext, RNN, трансформеры, Python, Linux, SQL, Git, PyTorch, TensorFlow",150000,170000
Data Scientist,Москва,От 1 года до 3 лет,"Python, Machine Learning, Математическое моделирование, Spark, Data Science, Математическая статистика",180000,200000
Python Developer (Junior),Томск,От 1 года до 3 лет,"Python, Git, ООП, MySQL",60000,110000
Data Scientist (NLP),Москва,От 3 до 6 лет,"Python, NLP, Artificial intelligence, Искусственный интеллект, Machine Learning, Машинное обучение, Обработка естественного языка, Data science, Language Processing, Natural, ООП",200000,400000
Специалист по работе с нейронными сетями\Promt инженер,Москва,От 1 года до 3 лет,"Большой интерес к инновациям в области медиа и технологий, Знание рынка существующих нейронных сетей и вариантов их применения, Проактивная позиция в вопросе применения нейронных сетей для задач производственной компании, Желание исследовать и креативить, Системное мышление, внимательность, нацеленность на результат, умение работать в команде, ответственность, Высшее образование, Аналитический склад",280000,330000
Junior / Middle ML Engineer (Data Scientist),Москва,От 1 года до 3 лет,"Python, Pandas, NumPy, Transformers, openai, LangChain, SQL, Понимание принципов классического ML и погружение в современные нейросетевые архитектуры: трансформеры, bert, gpt, Умение использовать LLM - промптинг, файнтюнинг.",170000,180000
ML engineer,Москва,От 1 года до 3 лет,"Уверенное владение Python;   Уверенное владение PyTorch;   Знание библиотек для машинного обучения (Scikit-learn, Pandas, Matplotlib, Numpy, Scipy);   Опыт работы с нейросетями в CV от 2-х лет;   Знание алгоритмов ML, основных архитектур моделей CV, и понимание критериев оценки их работы;   Умение делать рисерч, читать статьи на arxiv и воплощать их идеи в рабочий код;   Понимание того, как выстроить pipeline от сырых неразмеченных данных до готовой модели;   Будет плюсом:   Опыт работы над задачами в области медицины;   Опыт работы с медицинскими изображениями;   Понимание и опыт работы с DICOM и Nifti;   Опыт настройки пайплайнов разметки данных;   Успешный опыт участия в соревнованиях типа Kaggle;   Широкое и глубокое понимание как вообще работает ML, практический опыт в разных областях - CV, NLP, Tabular, RL.",200000,250000
Senior Machine Learning Engineer,Москва,От 3 до 6 лет,"Machine Learning, Python, numpy, pandas, matplotlib, seaborn, Обучение нейронных сетей, TensorFlow, CNTK, Keras, PyTorch, Caffe, Nvidia TLT, Linux",350000,570000
Computer vision инженер,Москва,От 3 до 6 лет,"Опыт в компьютерном зрении от 3 лет, Уверенные знания машинного обучения и особенно deep learning, Python и его dl-стэк - pytorch, tensorflow (huggingface - плюс), Знать состояние генеративных моделей в CV и опыт работы с диффузионными моделями.",200000,300000
Data Scientist,Москва,От 3 до 6 лет,"Python, SQL, Обучение и развитие, Машинное обучение, Data Science",270000,300000
Data Scientist (Junior/middle),Екатеринбург,От 1 года до 3 лет,"Python, Математическая статистика, Английский язык, sklearn, Статистический анализ",180000,200000
Computer Vision Engineer 2/2 (удаленно),Московская область,От 1 года до 3 лет,"Pytorch, TensorFlow, Python",200000,250000
Data Scientist (CV),Екатеринбург,От 1 года до 3 лет,"Python, TensorFlow, NLP, PyTorch, ML алгоритмы, ML, CV, Работа с данными, предиктивные модели",130000,140000
Стажер ML-инженер,Москва,Нет опыта,"Знание основ SQL, Базовое знание Python, Знание основных алгоритмов машинного обучения и ключевых метрик (бинарная классификация/линейная регрессия) ",280000,300000
ML специалист,Москва,От 3 до 6 лет,"Pytorch, TensorFlow, OpenVino, OpenCV, Pandas, NumPy, scipy, GPU, S3, LLM",200000,200000
Стажер Data analyst,Москва,Нет опыта,"Писать SQL-запросы (у нас Greenplum), Анализировать данные на Python (с использованием библиотек pandas, numpy, matplotlib и т.п.), Считать p-value в AB-тестах",55000,55000
Data Scientist,Москва,От 1 года до 3 лет,"знания Python на хорошем уровне, в том числе популярные библиотеки (TensorFlow, PyTorch, Keras, spaCy, Pandas, NumPy и другие); знания особенности анализа и прогнозирования временных рядов; опыт работы в DS не менее 3 лет, опыт на позиции middle/senior DS не менее 2 лет; SQL (написание запросов, понимание принципов организации БД); навыки работы с количественной информацией, знания теории вероятностей и математической статистики.",70000,100000
ML-разработчик/Data Scientist,Санкт-Петербург,От 1 года до 3 лет,"Python, Linux, NLP, ML, TensorFlow, PyTorch",300000,350000
Стажёр - Дата аналитик,Москва,Нет опыта,"Обучение и развитие, Аналитика, Системное мышление, Аналитическое мышление, Внутренние коммуникации, Python, Математическая статистика, MS SQL, Data Analysis, Базы данных, Git, NLP, ML, Machine Learning, Машинное обучение, A/B тесты",150000,180000
Data Scientist,Екатеринбург,От 1 года до 3 лет,"Уверенное владение Python;   Знание SQL/NoSQL-запросов;   Знание методов и технологий Machine Learning, Data Mining;   Технический английский.   Будет плюсом:   Опыт работы с инструментами полного цикла работы ML моделей;   Опыт работы с большими данными и системами распределенных вычислений mapreduce Hadoop/Spark;   Работа с задачами обработки естественного языка;   Работа с Docker.",200000,250000
Data Engineer,Москва,От 1 года до 3 лет,"Python, SQL, ClickHouse, Airflow",200000,220000
Специалист по работе с данными,Астрахань,От 3 до 6 лет,"SQL, Сбор и анализ информации, Работа с базами данных",150000,200000
Data Scientist,Санкт-Петербург,От 3 до 6 лет,"знание Data Science процессов; знание и понимание подходов обучения с учителем и обучения без учителя; умение проводить Data Science эксперименты от формулирования гипотезы до анализа; результатов и описания выводов; умение работать с большими объемами данных; умение визуализировать данные в matplotlib, seaborn и plotly; умение демонстрировать результаты работы руководству и другим коллегам; высшее образование (математика, физика); умение и готовность самостоятельно собирать отчеты из разных систем; опыт работы в Data Science от 3х лет; уверенные теоретические знания ML; уверенное владение python; SQL средний уровень; умение работать как в команде, так и самостоятельно. ",100000,130000
Machine learning engineer,Москва,От 3 до 6 лет,Хорошие навыки разработки на Python,270000,350000
Инженер по искусственному интеллекту (middle/senior),Нижний Новгород,От 3 до 6 лет,"Глубокие знания Python, эмбеддингов, pytests Опыт обучения нейронных сетей Понимание архитектуры современных языковых моделей (langchain, RAG)",150000,200000
Computer vision Data Engineer,Москва,От 1 года до 3 лет,"Python, Tensorflow, OpenCV, Keras, Numpy",120000,170000
Data Analyst,Казань,От 1 года до 3 лет,"Python, SQL, Linux",180000,230000
Junior Data Analyst,Москва,От 1 года до 3 лет,"Отличное знание SQL: написания запросов, хранимых процедур, уверенное владение агрегирующими и оконными функциями, оптимизация запросов; Знание основ программирования (Python), опыт работы с экосистемой Hadoop (HDFS, Spark); Понимание основных концепций DWH, реляционных БД; Дополнительным преимуществом будет понимание методов и подходов машинного обучения",180000,230000
Data Scientist,Москва,От 1 года до 3 лет,"Python, SQL, PostgreSQL, Анализ данных, ORACLE, Git",270000,300000
Data scientist ML,Москва,От 1 года до 3 лет,"Python, SQL, Airflow, Hadoop, Git",70000,100000
