date;value
07.01.1991;3.526591
08.01.1991;3.180891
09.01.1991;3.252221
10.01.1991;3.611003
11.01.1991;3.565869
12.01.1991;4.306371
01.01.1992;5.088335
02.01.1992;2.81452
03.01.1992;2.985811
04.01.1992;3.20478
05.01.1992;3.127578
06.01.1992;3.270523
07.01.1992;3.73785082
08.01.1992;3.55877609
09.01.1992;3.77720173
10.01.1992;3.92449042
11.01.1992;4.38653092
12.01.1992;5.81054917
01.01.1993;6.19206769
02.01.1993;3.45085699
03.01.1993;3.77230686
04.01.1993;3.7343029
05.01.1993;3.90539892
06.01.1993;4.04968714
07.01.1993;4.31556552
08.01.1993;4.56218455
09.01.1993;4.60866203
10.01.1993;4.66785129
11.01.1993;
12.01.1993;
01.01.1994;
02.01.1994;
03.01.1994;
04.01.1994;
05.01.1994;
06.01.1994;
07.01.1994;
08.01.1994;
09.01.1994;
10.01.1994;
11.01.1994;
12.01.1994;
01.01.1995;
02.01.1995;4.21606735
03.01.1995;4.94934946
04.01.1995;4.8230449
05.01.1995;5.19475419
06.01.1995;5.17078711
07.01.1995;5.25674157
08.01.1995;5.85527729
09.01.1995;5.49072901
10.01.1995;6.11529323
11.01.1995;6.08847284
12.01.1995;7.41659792
01.01.1996;8.32945212
02.01.1996;5.06979585
03.01.1996;5.26255667
04.01.1996;5.59712628
05.01.1996;6.110296
06.01.1996;5.68916084
07.01.1996;6.48684933
08.01.1996;6.30056933
09.01.1996;6.46747574
10.01.1996;6.82862939
11.01.1996;
12.01.1996;
01.01.1997;
02.01.1997;
03.01.1997;
04.01.1997;
05.01.1997;
06.01.1997;
07.01.1997;
08.01.1997;
09.01.1997;
10.01.1997;
11.01.1997;
12.01.1997;
01.01.1998;8.79851303
02.01.1998;5.91826076
03.01.1998;6.53449298
04.01.1998;6.67573561
05.01.1998;7.06420058
06.01.1998;7.38338118
07.01.1998;7.81349587
08.01.1998;7.43189221
09.01.1998;8.27511722
10.01.1998;8.26044138
11.01.1998;8.59615575
12.01.1998;10.55893902
01.01.1999;10.3914156
02.01.1999;6.42153456
03.01.1999;8.06261937
04.01.1999;7.2977391
05.01.1999;7.93691594
06.01.1999;8.16532298
07.01.1999;8.71742046
08.01.1999;9.07096378
09.01.1999;9.17711337
10.01.1999;9.25188674
11.01.1999;9.93313643
12.01.1999;11.53297428
01.01.2000;12.51146235
02.01.2000;7.45719853
03.01.2000;8.59119084
04.01.2000;8.47400037
05.01.2000;9.3868026
06.01.2000;9.56039945
07.01.2000;10.8342948
08.01.2000;10.64375083
09.01.2000;9.90816186
10.01.2000;11.7100413
11.01.2000;11.34015074
12.01.2000;12.07913184
01.01.2001;14.49758109
02.01.2001;8.04927477
03.01.2001;10.31289116
04.01.2001;9.75335821
05.01.2001;10.85038183
06.01.2001;9.96171916
07.01.2001;11.44360144
08.01.2001;11.65923889
09.01.2001;
10.01.2001;
11.01.2001;
12.01.2001;
01.01.2002;
02.01.2002;
03.01.2002;
04.01.2002;
05.01.2002;
06.01.2002;
07.01.2002;12.84456587
08.01.2002;12.19649985
09.01.2002;12.85474787
10.01.2002;13.54200436
11.01.2002;13.28764
12.01.2002;15.13491784
01.01.2003;16.82834968
02.01.2003;9.80021461
03.01.2003;10.81699371
04.01.2003;10.65422256
05.01.2003;12.51232269
06.01.2003;12.16120969
07.01.2003;12.9980462
08.01.2003;12.51727568
09.01.2003;13.26865761
10.01.2003;14.73362169
11.01.2003;13.66938174
12.01.2003;16.50396561
01.01.2004;18.00376795
02.01.2004;11.93802987
03.01.2004;12.9979001
04.01.2004;12.88264507
05.01.2004;13.94344681
06.01.2004;13.9894722
07.01.2004;15.33909742
08.01.2004;15.37076394
09.01.2004;16.142005
10.01.2004;16.685754
11.01.2004;17.636728
12.01.2004;18.869325
01.01.2005;20.778723
02.01.2005;12.154552
03.01.2005;13.402392
04.01.2005;14.459239
05.01.2005;14.795102
06.01.2005;15.705248
07.01.2005;15.82955
08.01.2005;17.554701
09.01.2005;18.100864
10.01.2005;17.496668
11.01.2005;19.347265
12.01.2005;20.031291
01.01.2006;23.486694
02.01.2006;12.536987
03.01.2006;15.467018
04.01.2006;14.233539
05.01.2006;17.783058
06.01.2006;16.291602
07.01.2006;16.980282
08.01.2006;18.612189
09.01.2006;16.623343
10.01.2006;21.430241
11.01.2006;23.575517
12.01.2006;23.334206
01.01.2007;28.038383
02.01.2007;16.763869
03.01.2007;19.792754
04.01.2007;16.427305
05.01.2007;21.000742
06.01.2007;20.681002
07.01.2007;21.83489
08.01.2007;23.93020353
09.01.2007;22.93035694
10.01.2007;23.26333992
11.01.2007;25.25003022
12.01.2007;25.80609
01.01.2008;29.665356
02.01.2008;21.654285
03.01.2008;18.264945
04.01.2008;23.107677
05.01.2008;22.91251
06.01.2008;19.43174
